Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
David Duarte,BRA,DF,Bahia,29,2.8,0,0,0,1,2,0,0,1,0,,,0
Dudu,BRA,MF,VitГіria,24,3.3,4,1,1,6,5,0,2,2,7,,,0
Dudu,BRA,"MF,FW",Palmeiras,32,6.1,0,0,0,4,22,2,30,3,4,,,0
EdenГ­lson,BRA,"MF,FW",GrГЄmio,34,14.8,3,0,0,18,27,3,19,13,11,,,0
Г‰der,ITA,FW,CriciГєma,37,8.5,5,0,0,5,9,3,15,1,3,,,0
EDU,BRA,DF,VitГіria,23,8.3,2,0,0,5,4,0,0,5,8,,,0
Carlos Eduardo,BRA,"MF,FW",VitГіria,27,9.7,4,0,0,16,21,7,18,8,15,,,0
Carlos Eduardo,BRA,"MF,FW",Botafogo (RJ),34,9.1,1,0,0,13,10,1,12,10,3,,,0
Alysson Edward,BRA,MF,GrГЄmio,17,0.9,0,0,0,6,5,0,1,1,2,,,0
Eli,BRA,FW,AtlГ©tico Goianiense,19,0.2,0,0,0,0,0,0,0,0,1,,,0
KauГЈ Elias,BRA,FW,Fluminense,17,16.3,4,0,0,15,9,3,3,3,11,,,0
Rafael Elias,BRA,FW,Cruzeiro,24,1.1,2,0,0,4,2,1,0,0,0,,,0
EliГ©dson,BRA,DF,CriciГєma,20,0.4,0,0,0,1,0,0,1,0,3,,,0
Rodrigo Ely,BRA,DF,GrГЄmio,30,18.4,5,0,0,16,14,1,1,24,24,,,0
Emersonn,BRA,MF,Athletico Paranaense,19,4.3,0,0,0,7,6,1,5,1,5,,,0
Leandro Emmanuel MartГ­nez,ARG,MF,Fortaleza,29,11.2,4,0,0,14,18,1,34,9,14,,,0
Alan Empereur,BRA,DF,CuiabГЎ,29,28.3,9,0,0,13,15,0,11,24,15,,,0
Endrick,BRA,"MF,FW",Palmeiras,17,5.0,3,0,0,13,18,0,3,0,3,,,0
Erick,BRA,"MF,FW",SГЈo Paulo,26,35.6,5,0,0,46,42,1,47,38,44,,,0
