Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Samuel Iling-Junior,ENG,MF,Bologna,20,1.3,0,0,0,2,1,0,9,2,2,,,0
Alessio Iovine,ITA,DF,Como,33,4.3,2,0,0,5,6,0,17,3,2,,,0
Gustav Isaksen,DEN,MF,Lazio,23,24.6,5,0,0,23,46,3,110,10,9,,,0
Ardian Ismajli,ALB,DF,Empoli,27,27.9,3,0,0,21,29,0,0,53,21,,,0
Armando Izzo,ITA,DF,Monza,32,27.1,12,0,0,65,47,0,8,43,15,,,0
Fellipe Jack,BRA,DF,Como,18,1.9,2,0,0,5,1,0,0,4,4,,,0
Ali Jasim,IRQ,MF,Como,20,0.1,0,0,0,1,0,0,1,0,0,,,0
Gaby Jean,FRA,DF,Lecce,24,15.4,0,0,0,15,13,0,1,10,8,,,0
Juan Jesus,BRA,DF,Napoli,33,11.9,2,0,0,14,5,0,0,9,15,,,0
ГЃlex JimГ©nez,ESP,"MF,DF",Milan,19,14.1,6,0,0,12,18,5,37,17,13,,,0
ГћГіrir JГіhann Helgason,ISL,MF,Lecce,23,12.8,0,0,0,10,10,2,69,5,7,,,0
