Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value,league
Razvan Sava,ROU,GK,Udinese,22,12,12,1080,12.0,16,1.33,51,38,74.5,5,4,3,4,33.3,3,3,0,0,0.0,2.5,IT1
Simone Scuffet,ITA,GK,Napoli,28,14,14,1260,14.0,24,1.71,55,36,65.45,3,4,7,1,0.07,5,5,0,0,0.0,2.0,IT1
Jacopo Seghetti,ITA,GK,Empoli,19,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,0.0,1.0,IT1
Alen Sherri,ALB,GK,Cagliari,26,7,7,621,6.9,11,1.59,31,20,64.5,1,2,4,1,14.3,0,0,0,0,0.0,1.0,IT1
Benjamin Siegrist,SUI,GK,Genoa,32,2,2,152,1.7,2,1.18,12,10,83.3,1,1,0,0,0.0,0,0,0,0,0.0,0.65,IT1
Marco Silvestri,ITA,GK,Empoli,33,5,5,450,5.0,11,2.2,27,16,59.3,0,1,4,0,0.0,0,0,0,0,0.0,0.5,IT1
Lukasz Skorupski,POL,GK,Bologna,33,27,27,2364,26.3,33,1.26,83,51,61.4,11,12,4,8,29.6,2,1,1,0,50.0,2.5,IT1
Daniele Sommariva,ITA,GK,Genoa,27,1,0,28,0.3,1,3.21,3,2,66.7,0,0,0,0,0.0,0,0,0,0,0.0,0.1,IT1
Yann Sommer,SUI,GK,Inter,35,33,33,2970,33.0,32,0.97,112,84,74.1,20,8,5,13,39.4,4,3,1,0,25.0,4.0,IT1
Marco Sportiello,ITA,GK,Milan,32,2,1,126,1.4,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0,0.0,1.0,IT1
Filip Stankovic,SRB,GK,Venezia,22,16,16,1367,15.2,23,1.51,79,61,75.9,2,6,8,0,0.0,5,4,1,0,20.0,6.0,IT1
